Team_Name,Team_ID,Team_Code
Arsenal,1,3
Aston Villa,2,7
Bournemouth,3,91
Brentford,4,94
Brighton,5,36
Chelsea,6,8
Crystal Palace,7,31
Everton,8,11
Fulham,9,54
Leeds United,11,2
Leicester City,10,13
Liverpool,12,14
Manchester City,13,43
Manchester Utd,14,1
Newcastle Utd,15,4
Nott'ham Forest,16,17
Southampton,17,20
Tottenham,18,6
West Ham,19,21
Wolves,20,39
